| RAM64[16] | RAM64[17] | RAM64[18] |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |      0    |
|     23    |    231    |    208    |
|     62    |     29    |      0    |
|     62    |     29    |      0    |
|     62    |     29    |      0    |
|     62    |     29    |      0    |
|     62    |     29    |      0    |
|     62    |     29    |      0    |
|     62    |     29    |      0    |
|     62    |     29    |     33    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
|     61    |     61    |      0    |
